display_name,works_count,author_id,works_api_url,h_index,country_code
Yun Gao,50,https://openalex.org/A5101868390,https://api.openalex.org/works?filter=author.id:A5101868390,29,CN
Vishakh Padmakumar,49,https://openalex.org/A5052649262,https://api.openalex.org/works?filter=author.id:A5052649262,10,IN
Alex Rutherford,48,https://openalex.org/A5029104172,https://api.openalex.org/works?filter=author.id:A5029104172,15,DE
Matthew Seah,46,https://openalex.org/A5049639894,https://api.openalex.org/works?filter=author.id:A5049639894,16,CA
Miaomiao Wen,43,https://openalex.org/A5100550303,https://api.openalex.org/works?filter=author.id:A5100550303,19,CN
Florian Teschner,36,https://openalex.org/A5088390733,https://api.openalex.org/works?filter=author.id:A5088390733,7,DE
Jason A. Okonofua,31,https://openalex.org/A5015852638,https://api.openalex.org/works?filter=author.id:A5015852638,10,US
Tanvi Kothari,30,https://openalex.org/A5008505665,https://api.openalex.org/works?filter=author.id:A5008505665,11,US
Lorenzo Famiglini,27,https://openalex.org/A5023835476,https://api.openalex.org/works?filter=author.id:A5023835476,11,IT
Peter Gorniak,24,https://openalex.org/A5008267833,https://api.openalex.org/works?filter=author.id:A5008267833,13,
Rui Xu,19,https://openalex.org/A5100745348,https://api.openalex.org/works?filter=author.id:A5100745348,7,CN
Jakub Pawłowski,18,https://openalex.org/A5001200509,https://api.openalex.org/works?filter=author.id:A5001200509,5,PL
Bruno Lepri,18,https://openalex.org/A5112008655,https://api.openalex.org/works?filter=author.id:A5112008655,8,IT
Otto S. Wolfbeis,9,https://openalex.org/A5071018542,https://api.openalex.org/works?filter=author.id:A5071018542,8,DE
Kate Sheals,8,https://openalex.org/A5033629153,https://api.openalex.org/works?filter=author.id:A5033629153,6,GB
Jens Lundgren,6,https://openalex.org/A5010271912,https://api.openalex.org/works?filter=author.id:A5010271912,4,SE
Alix Rule,6,https://openalex.org/A5089336686,https://api.openalex.org/works?filter=author.id:A5089336686,2,
Hanbin Seo,2,https://openalex.org/A5019544727,https://api.openalex.org/works?filter=author.id:A5019544727,2,KR
Jian Yang,1038,https://openalex.org/A5100726984,https://api.openalex.org/works?filter=author.id:A5100726984,89,CN
Eric P. Xing,906,https://openalex.org/A5009547049,https://api.openalex.org/works?filter=author.id:A5009547049,95,AE
Chongqing Kang,550,https://openalex.org/A5100447205,https://api.openalex.org/works?filter=author.id:A5100447205,91,CN
Juan Luis Nicolau,298,https://openalex.org/A5023917386,https://api.openalex.org/works?filter=author.id:A5023917386,44,GH
Robert Weech‐Maldonado,276,https://openalex.org/A5058630971,https://api.openalex.org/works?filter=author.id:A5058630971,35,US
Fernando Pérez‐Cruz,254,https://openalex.org/A5088555568,https://api.openalex.org/works?filter=author.id:A5088555568,34,CH
